instance,n,m,status,LB,UB,gap_percent,time_seconds,phase,threads,time_limit_seconds,memory_state_limit,max_extensions,dominance_rules,generalized_jackson,lm4_root,lm4_search,peak_memory_states,expanded_states,generated_loads,stored_states,memory_prunes,maximum_load_prunes,successor_prunes,jackson_prunes,generalized_jackson_prunes,bound_prunes
MERTENS,7,6,OPTIMAL,6,6,0.000000,0.000068,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MERTENS,7,2,OPTIMAL,15,15,0.000000,0.000049,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MERTENS,7,5,OPTIMAL,7,7,0.000000,0.000063,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MERTENS,7,3,OPTIMAL,10,10,0.000000,0.000054,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
BOWMAN,8,5,OPTIMAL,17,17,0.000000,0.000058,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
JAESCHKE,9,8,OPTIMAL,6,6,0.000000,0.000063,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
JAESCHKE,9,6,OPTIMAL,8,8,0.000000,0.000056,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
JAESCHKE,9,4,OPTIMAL,10,10,0.000000,0.000056,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
JAESCHKE,9,3,OPTIMAL,13,13,0.000000,0.000054,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
JACKSON,11,8,OPTIMAL,7,7,0.000000,0.000063,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
JACKSON,11,3,OPTIMAL,16,16,0.000000,0.000056,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
JACKSON,11,6,OPTIMAL,9,9,0.000000,0.000061,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
JACKSON,11,5,OPTIMAL,10,10,0.000000,0.000094,limited,1,600.000000,60000000,10000,1,1,1,0,8,8,16,7,2,15,0,3,0,3
JACKSON,11,4,OPTIMAL,12,12,0.000000,0.000063,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MANSOOR,11,4,OPTIMAL,48,48,0.000000,0.000077,limited,1,600.000000,60000000,10000,1,1,1,0,2,2,3,1,0,4,0,0,0,2
MANSOOR,11,2,OPTIMAL,93,93,0.000000,0.000059,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MANSOOR,11,3,OPTIMAL,62,62,0.000000,0.000103,limited,1,600.000000,60000000,10000,1,1,1,0,3,3,7,2,0,16,0,0,0,4
MITCHELL,21,8,OPTIMAL,14,14,0.000000,0.000090,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MITCHELL,21,3,OPTIMAL,35,35,0.000000,0.000077,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
MITCHELL,21,5,OPTIMAL,21,21,0.000000,0.000077,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ROSZIEG,25,10,OPTIMAL,14,14,0.000000,0.000109,limited,1,600.000000,60000000,10000,1,1,1,0,1,1,1,0,0,2,0,0,0,1
ROSZIEG,25,4,OPTIMAL,32,32,0.000000,0.000081,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ROSZIEG,25,6,OPTIMAL,21,21,0.000000,0.000081,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ROSZIEG,25,8,OPTIMAL,16,16,0.000000,0.000081,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
HESKIA,28,8,OPTIMAL,129,129,0.000000,0.005195,limited,1,600.000000,60000000,10000,1,1,1,0,285,180,2182,284,247,18958,0,779,4,865
HESKIA,28,3,OPTIMAL,342,342,0.000000,0.000094,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
HESKIA,28,5,OPTIMAL,205,205,0.000000,0.000094,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
HESKIA,28,4,OPTIMAL,256,256,0.000000,0.000092,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
BUXEY,29,7,OPTIMAL,47,47,0.000000,0.000956,limited,1,600.000000,60000000,10000,1,1,1,0,111,45,458,110,106,1618,0,209,2,29
BUXEY,29,8,OPTIMAL,41,41,0.000000,0.000095,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
BUXEY,29,11,OPTIMAL,32,32,0.000000,0.005972,limited,1,600.000000,60000000,10000,1,1,1,0,501,505,3635,500,1265,7725,0,1283,112,458
BUXEY,29,13,OPTIMAL,27,27,0.000000,0.001005,limited,1,600.000000,60000000,10000,1,1,1,0,78,78,586,77,69,1198,0,194,9,237
BUXEY,29,12,OPTIMAL,28,28,0.000000,0.000300,limited,1,600.000000,60000000,10000,1,1,1,0,38,12,73,37,0,134,0,33,0,3
BUXEY,29,10,OPTIMAL,34,34,0.000000,0.000318,limited,1,600.000000,60000000,10000,1,1,1,0,40,10,62,39,0,166,0,22,0,0
SAWYER,30,14,OPTIMAL,25,25,0.000000,0.000087,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
SAWYER,30,8,OPTIMAL,41,41,0.000000,0.000307,limited,1,600.000000,60000000,10000,1,1,1,0,41,8,62,40,0,147,0,7,0,14
SAWYER,30,12,OPTIMAL,28,28,0.000000,0.000556,limited,1,600.000000,60000000,10000,1,1,1,0,110,26,165,109,7,282,0,42,0,6
SAWYER,30,13,OPTIMAL,26,26,0.000000,0.000565,limited,1,600.000000,60000000,10000,1,1,1,0,104,33,191,103,8,280,1,43,0,36
SAWYER,30,11,OPTIMAL,31,31,0.000000,0.007880,limited,1,600.000000,60000000,10000,1,1,1,0,890,672,5327,889,1776,10862,9,1112,63,1458
SAWYER,30,10,OPTIMAL,34,34,0.000000,0.005011,limited,1,600.000000,60000000,10000,1,1,1,0,439,439,3656,438,1160,7520,58,950,41,1009
SAWYER,30,7,OPTIMAL,47,47,0.000000,0.002454,limited,1,600.000000,60000000,10000,1,1,1,0,246,93,1278,245,516,4586,0,359,18,139
SAWYER,30,5,OPTIMAL,65,65,0.000000,0.000376,limited,1,600.000000,60000000,10000,1,1,1,0,35,5,107,34,0,540,0,36,0,36
GUNTHER,35,9,OPTIMAL,54,54,0.000000,0.000109,bounds,1,600.000000,60000000,10000,1,1,1,0,0,0,0,0,0,0,0,0,0,0
GUNTHER,35,14,OPTIMAL,40,40,0.000000,0.000596,limited,1,600.000000,60000000,10000,1,1,1,0,87,56,172,86,28,301,0,37,0,2
GUNTHER,35,12,OPTIMAL,44,44,0.000000,0.000628,limited,1,600.000000,60000000,10000,1,1,1,0,61,68,257,60,61,387,0,56,0,65
GUNTHER,35,11,OPTIMAL,48,48,0.000000,0.001301,limited,1,600.000000,60000000,10000,1,1,1,0,114,114,541,113,274,1167,0,85,0,65
GUNTHER,35,8,OPTIMAL,63,63,0.000000,0.001612,limited,1,600.000000,60000000,10000,1,1,1,0,148,88,719,147,196,3362,0,119,5,241
GUNTHER,35,7,OPTIMAL,72,72,0.000000,0.003074,limited,1,600.000000,60000000,10000,1,1,1,0,243,204,1484,242,529,7281,0,349,18,332
WARNECKE,58,25,OPTIMAL,64,64,0.000000,0.493324,limited,1,600.000000,60000000,10000,1,1,1,0,19069,12115,167931,19068,47022,171097,2276,51697,1019,45776
WARNECKE,58,31,OPTIMAL,53,53,0.000000,0.090367,limited,1,600.000000,60000000,10000,1,1,1,0,8495,3921,25796,8494,9525,19890,0,8226,212,155
WARNECKE,58,29,OPTIMAL,56,56,0.000000,0.170178,limited,1,600.000000,60000000,10000,1,1,1,0,7387,5963,56461,7386,10400,52332,0,20581,162,19802
WARNECKE,58,27,OPTIMAL,60,60,0.000000,1.405978,limited,1,600.000000,60000000,10000,1,1,1,0,47468,41153,497114,47467,187249,461214,11264,157998,3809,92777
WARNECKE,58,24,OPTIMAL,66,66,0.000000,0.108829,limited,1,600.000000,60000000,10000,1,1,1,0,5396,2645,45332,5395,7554,48733,290,15366,181,16360
WARNECKE,58,23,OPTIMAL,69,69,0.000000,2.318182,limited,1,600.000000,60000000,10000,1,1,1,0,68265,57718,1103345,68264,294686,1325375,3391,428958,9895,295896
WARNECKE,58,22,OPTIMAL,73,73,0.000000,11.347793,limited,1,600.000000,60000000,10000,1,1,1,0,175588,174554,4239972,175587,1940831,5373504,7860,1589978,77445,444083
WARNECKE,58,21,OPTIMAL,76,76,0.000000,11.160360,limited,1,600.000000,60000000,10000,1,1,1,0,167111,165829,4406096,167110,1911150,5907639,1295,1679943,54837,588366
WARNECKE,58,20,OPTIMAL,79,79,0.000000,2.650680,limited,1,600.000000,60000000,10000,1,1,1,0,51849,51060,1389290,51848,330917,1948276,249,555599,4352,446186
WARNECKE,58,19,OPTIMAL,84,84,0.000000,13.967237,limited,1,600.000000,60000000,10000,1,1,1,0,162912,159551,5324677,162911,2304742,7922761,717,2144899,72536,630846
WARNECKE,58,17,OPTIMAL,92,92,0.000000,0.089892,limited,1,600.000000,60000000,10000,1,1,1,0,7855,864,22924,7854,5868,27243,6,8668,57,297
WARNECKE,58,15,OPTIMAL,104,104,0.000000,0.073821,limited,1,600.000000,60000000,10000,1,1,1,0,6320,428,17598,6319,4094,24235,0,6933,39,171
WARNECKE,58,14,OPTIMAL,111,111,0.000000,0.098716,limited,1,600.000000,60000000,10000,1,1,1,0,6615,753,34893,6614,5965,55214,0,16332,12,5954
